doi,role,title,authors,year,container,crossref_status
10.1093/qje/qjag026,closest prior work on rainfall hazard and persuasive prayer,Praying for Rain,José-Antonio Espín-Sánchez; Salvador Gil-Guirado; Nicholas Ryan,2026,The Quarterly Journal of Economics,verified
10.3386/w31411,open working-paper version of closest prior work,Praying for Rain,José-Antonio Espín-Sánchez; Salvador Gil-Guirado; Nicholas Ryan,2023,,verified
10.5751/es-12875-270209,historical Murcia rain-prayer context,"Praying for rain, resilience, and social stability in Murcia (southeast Spain)",José-Antonio Espín-Sánchez; Salvador Gil-Guirado,2022,Ecology and Society,verified
10.4102/hts.v69i1.1175,Pedi rainmaking practice and stated provider price,The making and prevention of rain amongst the Pedi tribe of South Africa: A pastoral response,David K. Semenya,2013,HTS Teologiese Studies / Theological Studies,verified
10.1016/j.ecolecon.2011.11.011,cultural values in ecosystem-service analysis,Rethinking ecosystem services to better address and navigate cultural values,Kai M.A. Chan; Terre Satterfield; Joshua Goldstein,2012,Ecological Economics,verified
10.1016/j.ecolecon.2015.01.006,shared and social values of ecosystems,What are shared and social values of ecosystems?,Jasper O. Kenter; Liz O'Brien; Neal Hockley; Neil Ravenscroft; Ioan Fazey; Katherine N. Irvine; Mark S. Reed; Michael Christie; Emily Brady; Rosalind Bryce; Andrew Church; Nigel Cooper; Althea Davies; Anna Evely; Mark Everard; Robert Fish; Janet A. Fisher; Niels Jobstvogt; Claire Molloy; Johanne Orchard-Webb; Susan Ranger; Mandy Ryan; Verity Watson; Susan Williams,2015,Ecological Economics,verified
10.1016/j.ecolecon.2013.07.004,excluded after metadata audit; capability approach article did not match intended role,The place of the capability approach within sustainability economics,Nuno O. Martins,2013,Ecological Economics,verified
10.1016/j.ecolecon.2017.11.006,excluded after metadata audit; growth-versus-environment article did not match intended role,Challenges in Assessing Public Opinion on Economic Growth Versus Environment: Considering European and US Data,Stefan Drews; Miklós Antal; Jeroen C.J.M. van den Bergh,2018,Ecological Economics,verified
10.1016/j.cosust.2016.12.006,plural values and nature's contributions,Valuing nature’s contributions to people: the IPBES approach,Unai Pascual; Patricia Balvanera; Sandra Díaz; György Pataki; Eva Roth; Marie Stenseke; Robert T Watson; Esra Başak Dessane; Mine Islar; Eszter Kelemen; Virginie Maris; Martin Quaas; Suneetha M Subramanian; Heidi Wittmer; Asia Adlan; SoEun Ahn; Yousef S Al-Hafedh; Edward Amankwah; Stanley T Asah; Pam Berry; Adem Bilgin; Sara J Breslow; Craig Bullock; Daniel Cáceres; Hamed Daly-Hassen; Eugenio Figueroa; Christopher D Golden; Erik Gómez-Baggethun; David González-Jiménez; Joël Houdet; Hans Keune; Ritesh Kumar; Keping Ma; Peter H May; Aroha Mead; Patrick O’Farrell; Ram Pandit; Walter Pengue; Ramón Pichis-Madruga; Florin Popa; Susan Preston; Diego Pacheco-Balanza; Heli Saarikoski; Bernardo B Strassburg; Marjan van den Belt; Madhu Verma; Fern Wickson; Noboyuki Yagi,2017,Current Opinion in Environmental Sustainability,verified
10.1073/pnas.1525002113,relational values of nature,Why protect nature? Rethinking values and the environment,Kai M. A. Chan; Patricia Balvanera; Karina Benessaiah; Mollie Chapman; Sandra Díaz; Erik Gómez-Baggethun; Rachelle Gould; Neil Hannahs; Kurt Jax; Sarah Klain; Gary W. Luck; Berta Martín-López; Barbara Muraca; Bryan Norton; Konrad Ott; Unai Pascual; Terre Satterfield; Marc Tadaki; Jonathan Taggart; Nancy Turner,2016,Proceedings of the National Academy of Sciences,verified
10.1016/j.cosust.2017.12.005,excluded after metadata audit; storytelling article did not match intended role,Narrative matters for sustainability: the transformative role of storytelling in realizing 1.5°C futures,S Veland; M Scoville-Simonds; I Gram-Hanssen; AK Schorre; A El Khoury; MJ Nordbø; AH Lynch; G Hochachka; M Bjørkan,2018,Current Opinion in Environmental Sustainability,verified
10.1016/j.ecolecon.2013.07.002,limits and politics of monetary valuation,To value or not to value? That is not the question,Giorgos Kallis; Erik Gómez-Baggethun; Christos Zografos,2013,Ecological Economics,verified
